stateName,registrationMonthMMYY,fuelName,vehicleCount
Andaman & Nicobar Island,01-21,PETROL,25
Andaman & Nicobar Island,01-22,PETROL,6
Andaman & Nicobar Island,01-23,DIESEL,1
Andaman & Nicobar Island,01-23,PETROL,17
Andaman & Nicobar Island,01-24,PETROL,4
Andaman & Nicobar Island,01-24,PETROL(E20),1
Andaman & Nicobar Island,01-25,PETROL,4
Andaman & Nicobar Island,01-25,PETROL(E20),2
Andaman & Nicobar Island,01-25,PETROL/HYBRID,1
Andaman & Nicobar Island,02-21,DIESEL,1
Andaman & Nicobar Island,02-21,PETROL,11
Andaman & Nicobar Island,02-22,PETROL,36
Andaman & Nicobar Island,02-23,DIESEL,1
Andaman & Nicobar Island,02-23,PETROL,1
Andaman & Nicobar Island,02-24,DIESEL,9
Andaman & Nicobar Island,02-24,PETROL,6
Andaman & Nicobar Island,02-24,PETROL/HYBRID,2
Andaman & Nicobar Island,02-25,PETROL,64
Andaman & Nicobar Island,03-21,DIESEL,1
Andaman & Nicobar Island,03-21,PETROL,22
Andaman & Nicobar Island,03-22,PETROL,3
Andaman & Nicobar Island,03-23,DIESEL,5
Andaman & Nicobar Island,03-23,PETROL,37
Andaman & Nicobar Island,03-24,PETROL,1
Andaman & Nicobar Island,03-25,DIESEL,4
Andaman & Nicobar Island,03-25,PETROL,5
Andaman & Nicobar Island,03-25,PETROL/HYBRID,1
Andaman & Nicobar Island,04-20,PETROL,5
Andaman & Nicobar Island,04-21,DIESEL,3
Andaman & Nicobar Island,04-21,PETROL,5
Andaman & Nicobar Island,04-22,PETROL,9
Andaman & Nicobar Island,04-23,DIESEL,2
Andaman & Nicobar Island,04-23,PETROL,10
Andaman & Nicobar Island,04-24,DIESEL,1
Andaman & Nicobar Island,04-24,PETROL,3
Andaman & Nicobar Island,04-24,PETROL(E20),3
Andaman & Nicobar Island,04-25,PETROL,5
Andaman & Nicobar Island,04-25,PETROL/HYBRID,5
Andaman & Nicobar Island,05-22,PETROL,8
Andaman & Nicobar Island,05-23,PETROL,17
Andaman & Nicobar Island,05-24,DIESEL,4
Andaman & Nicobar Island,05-24,PETROL,13
Andaman & Nicobar Island,05-25,DIESEL,3
Andaman & Nicobar Island,05-25,PETROL,1
Andaman & Nicobar Island,05-25,PETROL(E20),1
Andaman & Nicobar Island,05-25,PURE EV,1
Andaman & Nicobar Island,06-20,PETROL,3
Andaman & Nicobar Island,06-22,DIESEL,1
Andaman & Nicobar Island,06-22,PETROL,2
Andaman & Nicobar Island,06-23,DIESEL,1
Andaman & Nicobar Island,06-23,PETROL,76
Andaman & Nicobar Island,06-24,PETROL,3
Andaman & Nicobar Island,06-24,PETROL/HYBRID,1
Andaman & Nicobar Island,06-25,DIESEL,3
Andaman & Nicobar Island,06-25,PETROL,2
Andaman & Nicobar Island,06-25,PURE EV,2
Andaman & Nicobar Island,07-20,PETROL,15
Andaman & Nicobar Island,07-21,DIESEL,3
Andaman & Nicobar Island,07-21,PETROL,22
Andaman & Nicobar Island,07-22,DIESEL,3
Andaman & Nicobar Island,07-22,PETROL,11
Andaman & Nicobar Island,07-23,DIESEL,1
Andaman & Nicobar Island,07-23,PETROL,17
Andaman & Nicobar Island,07-24,PETROL,13
Andaman & Nicobar Island,07-25,DIESEL,2
Andaman & Nicobar Island,07-25,PETROL,14
Andaman & Nicobar Island,07-25,PETROL(E20),5
Andaman & Nicobar Island,08-21,PETROL,45
Andaman & Nicobar Island,08-22,PETROL,13
Andaman & Nicobar Island,08-23,DIESEL,8
Andaman & Nicobar Island,08-23,PETROL,12
